No.;Quantity;Comment;Designator;Footprint;Value;Manufacturer Part;Manufacturer;Supplier Part;Supplier;Primary Category;Secondary Category;LCSC Stock;LCSC Price;Device;Name;Description;JLCPCB Part Class;LCSC Part Name;Mounting Type;Noise;Power(Watts);Voltage-Supply(Max);Voltage Rating (Max);JLCPCB Stock;JLCPCB Price;Mounting Style
13;1;AO3401;Q1;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;;AO3401;YONGYUTAI(永裕泰);C6575062;LCSC;Transistors/Thyristors;MOSFETs;;;AO3401_C6575062;AO3401;Number:1 P-Channel Drain to Source Voltage:30V Current - Continuous Drain(Id):4.1A RDS(on):65mΩ@4.5V,4A Pd - Power Dissipation:1.25W Gate Threshold Voltage (Vgs(th)):1.3V Input Capacitance(Ciss):870pF@0V Reverse Transfer Capacitance (Crss@Vds):10pF Operat;Extended Part;1个P沟道 耐压:30V 电流:4.1A;;;;;;28811;0.0041;SMT
14;1;S8050;Q3;SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR;;S8050;R+O(宏嘉诚);C20069125;LCSC;Transistors/Thyristors;Bipolar (BJT);;;S8050_C20069125;S8050;type:NPN Current - Collector(Ic):500mA Collector - Emitter Voltage VCEO:25V Pd - Power Dissipation:300mW DC Current Gain:120@50mA,1.0V DC Current Gain:120@50mA,1.0V Transition frequency(fT):100MHz Current - Collector Cutoff:100nA Vce Saturation(VCE(sat)):;Extended Part;hFE:200-350，丝印:J3Y NPN 500mA 25V;;;;;;1189343;0.0014;SMT
15;2;4.7kΩ;R1,R2;R0603;4.7kΩ;0603WAF4701T5E;UNI-ROYAL(厚声);C23162;LCSC;Resistors;Chip Resistor - Surface Mount;;;0603WAF4701T5E;4.7kΩ;Type:Thick Film Resistor Resistance:4.7kΩ Tolerance:±1% Tolerance:±1% Power(Watts):100mW Voltage-Supply(Max):75V Temperature Coefficient:±100ppm/℃ Temperature Coefficient:±100ppm/℃ Operating Temperature:-55℃~+155℃ Operating Temperature:-55℃~+155℃;Basic Part;4.7kΩ ±1% 100mW 厚膜电阻;;;100mW;75V;;27954213;0.0002;SMT
16;1;1kΩ;R3;R0603;;RC0603FR-071KL;YAGEO(国巨);C22548;LCSC;;;;;1kΩ;1kΩ;;Extended Part;;;;;;;4732344;0.0002;SMT
17;2;10kΩ;R4,R5;R0603;;HoAR0603-1/10W-10KR-0.1%-TCR25;Milliohm(毫欧);C5123581;LCSC;;;;;10kΩ;10kΩ;;;;;;;;;744;0.0123;SMT
18;1;10kΩ;R6;R0603;;0603WAF1002T5E;UNI-ROYAL(厚声);C25804;LCSC;;;;;10kΩ;10kΩ;;Basic Part;;;;;;;51347813;0.0002;SMT
19;1;2.2kΩ;R8;R0805;2.2kΩ;0805W8F2201T5E;UNI-ROYAL(厚声);C17520;LCSC;Resistors;Chip Resistor - Surface Mount;;;0805W8F2201T5E_C17520;2.2kΩ;Type:Thick Film Resistor Resistance:2.2kΩ Tolerance:±1% Tolerance:±1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:±100ppm/℃ Temperature Coefficient:±100ppm/℃ Operating Temperature:-55℃~+155℃ Operating Temperature:-55℃~+155℃;Basic Part;2.2kΩ ±1% 125mW 厚膜电阻;;;125mW;150V;;1677773;0.0004;SMT
20;1;470Ω;R17;R0603;470Ω;0603WAF4700T5E;UNI-ROYAL(厚声);C23179;LCSC;Resistors;Chip Resistor - Surface Mount;;;0603WAF4700T5E;470Ω;Type:Thick Film Resistor Resistance:470Ω Tolerance:±1% Tolerance:±1% Power(Watts):100mW Voltage-Supply(Max):75V Temperature Coefficient:±100ppm/℃ Temperature Coefficient:±100ppm/℃ Operating Temperature:-55℃~+155℃ Operating Temperature:-55℃~+155℃;Basic Part;470Ω ±1% 100mW 厚膜电阻;;;100mW;75V;;3549308;0.0002;SMT
21;2;470Ω;RN1,RN2;RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL;470Ω;4D03WGJ0471T5E;UNI-ROYAL(厚声);C25510;LCSC;Resistors;Resistor Networks, Arrays;;;4D03WGJ0471T5E;470Ω;Number of Resistors: Resistance:470Ω Tolerance:±5% Tolerance:±5% Power(Watts):62.5mW Temperature Coefficient:±200ppm/℃ Temperature Coefficient:±200ppm/℃ Number of Pins:;Extended Part;470Ω ±5%;;;62.5mW;;;53385;0.0011;SMT
22;1;10kΩ;RN3;RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL;10kΩ;4D03WGJ0103T5E;UNI-ROYAL(厚声);C29718;LCSC;Resistors;Resistor Networks, Arrays;;;4D03WGJ0103T5E;10kΩ;Number of Resistors: Resistance:10kΩ Tolerance:±5% Tolerance:±5% Power(Watts): Temperature Coefficient:±200ppm/℃ Temperature Coefficient:±200ppm/℃ Number of Pins:;Basic Part;10kΩ ±5%;;;;;;458254;0.0012;SMT
